# XviD 2pass stat file (core version 1.3.2)
# Please do not modify this file

p 2 0 385 11 11531 574
b 4 0 396 0 2305 435
b 4 0 396 0 2188 425
p 2 0 395 1 13983 624
b 4 0 396 0 1772 363
b 4 0 396 0 2062 385
p 2 0 375 21 9520 554
b 4 0 396 0 1767 346
b 4 0 396 0 2014 390
p 2 0 379 17 9638 549
b 4 0 396 0 1721 349
b 4 0 396 0 1831 389
p 2 0 385 11 11501 569
b 4 0 396 0 2210 459
b 4 0 396 0 1848 434
p 2 0 395 1 13353 617
b 4 0 396 0 1334 357
b 4 0 396 0 1590 381
p 2 0 371 25 8895 555
b 4 0 396 0 1840 367
b 4 0 396 0 2059 373
p 2 0 380 16 9860 561
b 4 0 396 0 1999 370
b 4 0 396 0 2173 377
p 2 0 383 13 11707 565
b 4 0 396 0 2377 449
b 4 0 396 0 2153 414
p 2 0 394 2 14190 622
b 4 0 396 0 1839 358
b 4 0 396 0 2100 372
p 2 0 387 9 9963 565
b 4 0 396 0 1673 358
b 4 0 396 0 1853 377
p 2 0 381 15 9972 561
b 4 0 396 0 1331 345
b 4 0 396 0 1545 369
p 2 0 383 13 10839 553
b 4 0 396 0 2144 479
b 4 0 396 0 1806 445
p 2 0 395 1 12912 616
b 4 0 396 0 1429 383
b 4 0 396 0 1712 368
p 2 0 393 3 9177 574
b 4 0 396 0 1721 354
b 4 0 396 0 1901 357
p 2 0 387 9 10074 561
b 4 0 396 0 1791 367
b 4 0 396 0 1814 379
p 2 1 381 14 10940 567
b 4 0 396 0 2199 443
b 4 0 396 0 2050 426
p 2 0 396 0 13515 622
b 4 0 396 0 1758 367
b 4 0 396 0 1884 363
p 2 0 381 15 9463 559
b 4 0 396 0 1739 368
b 4 0 396 0 1942 366
p 2 0 376 20 9654 549
b 4 0 396 0 1731 381
b 4 0 396 0 1839 390
p 2 0 389 7 11224 565
b 4 0 396 0 1947 413
b 4 0 396 0 1764 414
p 2 0 395 1 13156 621
b 4 0 396 0 1447 340
b 4 0 396 0 1748 365
p 2 0 383 13 9607 570
b 4 0 396 0 1895 342
b 4 0 396 0 2253 386
p 2 0 379 17 10398 550
b 4 0 396 0 2021 361
b 4 0 396 0 1998 365
p 2 0 388 8 11820 568
b 4 0 396 0 2235 455
b 4 0 396 0 2092 441
p 2 0 394 2 13887 619
b 4 0 396 0 1637 375
b 4 0 396 0 1868 375
p 2 0 386 10 9776 569
b 4 0 396 0 1753 347
b 4 0 396 0 1932 373
p 2 0 383 13 10340 560
b 4 0 396 0 1657 407
b 4 0 396 0 1766 383
p 2 0 391 5 11420 566
b 4 0 396 0 2201 421
b 4 0 396 0 1936 408
p 2 0 396 0 13724 631
i 2 396 0 0 31203 1993
b 4 0 396 0 1779 317
b 4 0 396 0 1722 308
p 2 0 332 64 10370 507
b 4 0 396 0 1842 299
b 4 0 396 0 1707 338
p 2 0 337 59 10276 502
b 4 0 396 0 2167 498
b 4 0 396 0 2461 479
p 2 0 396 0 16209 622
b 4 0 396 0 1676 307
b 4 0 396 0 1756 352
p 2 0 367 29 10814 527
b 4 0 396 0 1850 296
b 4 0 396 0 1666 313
p 2 0 350 46 9994 517
b 4 0 396 0 1874 332
b 4 0 396 0 1745 344
p 2 0 355 41 10026 527
b 4 0 396 0 2275 501
b 4 0 396 0 2472 460
p 2 0 396 0 16167 641
b 4 0 396 0 2026 328
b 4 0 396 0 1974 332
p 2 0 354 42 11036 529
b 4 0 396 0 1890 311
b 4 0 396 0 1884 319
p 2 0 336 60 10059 515
b 4 0 396 0 1928 289
b 4 0 396 0 1786 324
p 2 0 339 57 9936 509
b 4 0 396 0 2343 485
b 4 0 396 0 2698 467
p 2 0 394 2 15886 625
b 4 0 396 0 1954 312
b 4 0 396 0 1911 340
p 2 0 356 40 11083 521
b 4 0 396 0 1869 276
b 4 0 396 0 1656 302
p 2 0 339 57 10016 510
b 4 0 396 0 1934 308
b 4 0 396 0 1720 309
p 2 0 354 42 10134 527
b 4 0 396 0 2280 492
b 4 0 396 0 2637 464
p 2 0 396 0 16066 640
b 4 0 396 0 1768 303
b 4 0 396 0 1818 349
p 2 1 376 19 10635 548
b 4 0 396 0 1928 306
b 4 0 396 0 1909 318
p 2 0 348 48 10200 530
b 4 0 396 0 2120 308
b 4 0 396 0 1959 324
p 2 0 351 45 9966 524
b 4 0 396 0 2144 491
b 4 0 396 0 2398 453
p 2 0 396 0 15393 636
b 4 0 396 0 1451 323
b 4 0 396 0 1469 349
p 2 0 369 27 10179 544
b 4 0 396 0 1566 305
b 4 0 396 0 1364 311
p 2 0 359 37 9172 538
b 4 0 396 0 1483 299
b 4 0 396 0 1357 322
p 2 0 363 33 8872 528
b 4 0 396 0 1688 471
b 4 0 396 0 1935 455
p 2 0 395 1 14215 629
b 4 0 396 0 1275 331
b 4 0 396 0 1322 354
p 2 0 368 28 9594 536
b 4 0 396 0 1336 275
b 4 0 396 0 1214 299
p 2 0 352 44 8530 531
b 4 0 396 0 1469 324
b 4 0 396 0 1433 305
p 2 0 344 52 8293 529
b 4 0 396 0 1713 471
b 4 0 396 0 2098 478
p 2 1 395 0 14565 634
b 4 0 396 0 1442 348
b 4 0 396 0 1331 387
p 2 0 377 19 9514 542
b 4 0 396 0 1482 302
b 4 0 396 0 1436 358
p 2 0 373 23 8562 544
b 4 0 396 0 1459 347
b 4 0 396 0 1355 355
p 2 0 351 45 8268 525
b 4 0 396 0 1602 472
b 4 0 396 0 1690 464
p 2 0 395 1 13575 621
b 4 0 396 0 1200 324
b 4 0 396 0 1210 379
p 2 0 372 24 9482 553
b 4 0 396 0 1293 303
b 4 0 396 0 1198 303
p 2 0 337 59 8342 524
b 4 0 396 0 1509 316
b 4 0 396 0 1474 321
p 2 0 346 50 8531 528
b 4 0 396 0 1745 459
b 4 0 396 0 2074 458
p 2 0 396 0 14396 627
b 4 0 396 0 1508 313
b 4 0 396 0 1534 330
p 2 0 380 16 10004 544
b 4 0 396 0 1549 304
b 4 0 396 0 1490 315
p 2 0 378 18 8963 545
b 4 0 396 0 1666 300
b 4 0 396 0 1592 295
p 2 1 361 34 8562 534
b 4 0 396 0 1777 485
b 4 0 396 0 2098 472
p 2 0 396 0 14203 633
b 4 0 396 0 1709 313
b 4 0 396 0 1645 304
p 2 1 363 32 10027 545
b 4 0 396 0 1798 308
b 4 0 396 0 1691 369
p 2 0 359 37 9237 538
b 4 0 396 0 1864 342
b 4 0 396 0 1714 330
p 2 0 339 57 9156 520
b 4 0 396 0 1904 486
b 4 0 396 0 1936 448
p 2 0 395 1 14424 620
b 4 0 396 0 1417 316
b 4 0 396 0 1415 347
p 2 0 363 33 9957 536
b 4 0 396 0 1497 313
b 4 0 396 0 1498 342
p 2 0 354 42 9249 529
b 4 0 396 0 1649 299
b 4 0 396 0 1499 316
p 2 0 353 43 9207 524
b 4 0 396 0 2168 472
b 4 0 396 0 2420 457
p 2 0 396 0 15465 631
b 4 0 396 0 1702 310
b 4 0 396 0 1736 345
p 2 0 374 22 10722 545
b 4 0 396 0 1988 303
b 4 0 396 0 1923 309
p 2 0 338 58 10191 526
b 4 0 396 0 1984 303
b 4 0 396 0 1864 324
p 2 0 350 46 9812 534
b 4 0 396 0 2194 475
b 4 0 396 0 2435 462
p 2 0 395 1 15290 630
b 4 0 396 0 1664 332
b 4 0 396 0 1671 334
p 2 0 375 21 10791 545
b 4 0 396 0 1621 314
b 4 0 396 0 1537 334
p 2 0 371 25 9544 546
b 4 0 396 0 1598 324
b 4 0 396 0 1558 333
p 2 0 343 53 9043 524
b 4 0 396 0 1869 486
b 4 0 396 0 2176 478
p 2 0 395 1 14758 629
b 4 0 396 0 1611 329
b 4 0 396 0 1572 354
p 2 0 368 28 10174 539
b 4 0 396 0 1661 327
b 4 0 396 0 1614 326
p 2 0 360 36 9152 531
b 4 0 396 0 1763 300
b 4 0 396 0 1544 310
p 2 0 368 28 9215 546
b 4 0 396 0 1750 464
b 4 0 396 0 2019 456
p 2 0 393 3 14536 628
b 4 0 396 0 1355 325
b 4 0 396 0 1369 361
p 2 0 375 21 10099 548
b 4 0 396 0 1580 294
b 4 0 396 0 1543 317
p 2 0 361 35 9290 538
b 4 0 396 0 1718 303
b 4 0 396 0 1570 298
p 2 0 376 20 9240 543
b 4 0 396 0 1865 461
b 4 0 396 0 2156 447
p 2 0 395 1 14571 624
b 4 0 396 0 1463 302
b 4 0 396 0 1415 325
p 2 0 376 20 10164 545
b 4 0 396 0 1557 288
b 4 0 396 0 1506 303
p 2 0 356 40 9020 533
b 4 0 396 0 1651 288
b 4 0 396 0 1525 298
p 2 0 348 48 8830 527
b 4 0 396 0 1971 472
b 4 0 396 0 2251 454
p 2 0 396 0 14767 620
b 4 0 396 0 1718 316
b 4 0 396 0 1674 330
p 2 0 374 22 10581 551
b 4 0 396 0 1681 295
b 4 0 396 0 1614 307
p 2 0 352 44 9225 528
b 4 0 396 0 1619 290
b 4 0 396 0 1620 306
p 2 0 363 33 9295 534
b 4 0 396 0 2066 462
b 4 0 396 0 2243 445
p 2 0 396 0 14700 641
b 4 0 396 0 1708 313
b 4 0 396 0 1664 338
p 2 0 368 28 10664 538
b 4 0 396 0 2029 313
b 4 0 396 0 1964 300
p 2 0 356 40 9989 528
b 4 0 396 0 2214 308
b 4 0 396 0 2024 318
p 2 1 340 55 9689 526
b 4 0 396 0 2568 476
b 4 0 396 0 2778 469
p 2 0 393 3 15564 628
b 4 0 396 0 1975 328
b 4 0 396 0 1890 350
p 2 0 368 28 10549 543
b 4 0 396 0 1748 284
b 4 0 396 0 1667 334
p 2 0 380 16 9318 541
b 4 0 396 0 1610 312
b 4 0 396 0 1570 315
p 2 1 367 28 8915 546
b 4 0 396 0 1914 478
b 4 0 396 0 2059 443
p 2 1 394 1 14524 623
b 4 0 396 0 1699 327
b 4 0 396 0 1645 334
p 2 0 370 26 10495 531
b 4 0 396 0 1691 303
b 4 0 396 0 1632 325
p 2 0 348 48 9419 520
b 4 0 396 0 1788 363
b 4 0 396 0 1529 351
p 2 0 365 31 9585 535
b 4 0 396 0 1930 461
b 4 0 396 0 2172 458
p 2 0 394 2 15020 624
i 2 396 0 0 31132 1974
b 4 0 396 0 1824 346
b 4 0 396 0 1717 323
p 2 0 388 8 10599 560
b 4 0 396 0 1905 331
b 4 0 396 0 1890 358
p 2 0 387 9 11061 559
b 4 0 396 0 1976 375
b 4 0 396 0 1847 361
p 2 0 384 12 10846 541
b 4 0 396 0 2057 438
b 4 0 396 0 2235 424
p 2 0 395 1 14223 619
b 4 0 396 0 1718 356
b 4 0 396 0 1554 344
p 2 0 384 12 10034 558
b 4 0 396 0 1576 325
b 4 0 396 0 1566 341
p 2 0 385 11 10424 554
b 4 0 396 0 1617 337
b 4 0 396 0 1477 344
p 2 0 379 17 9818 553
b 4 0 396 0 1703 449
b 4 0 396 0 1965 453
p 2 0 394 2 13557 628
b 4 0 396 0 1510 338
b 4 0 396 0 1494 354
p 2 0 383 13 9498 561
b 4 0 396 0 1689 331
b 4 0 396 0 1690 337
p 2 0 380 16 10361 559
b 4 0 396 0 1648 328
b 4 0 396 0 1652 358
p 2 0 377 19 10279 556
b 4 0 396 0 1864 450
b 4 0 396 0 2048 430
p 2 0 395 1 14063 615
b 4 0 396 0 1583 331
b 4 0 396 0 1539 321
p 2 0 384 12 9786 561
b 4 0 396 0 1635 350
b 4 0 396 0 1690 350
p 2 0 380 16 10425 568
b 4 0 396 0 1538 359
b 4 0 396 0 1569 356
p 2 0 379 17 10027 559
b 4 0 396 0 2083 476
b 4 0 396 0 2090 462
p 2 0 395 1 14382 631
b 4 0 396 0 1807 390
b 4 0 396 0 1785 373
p 2 0 393 3 10518 577
b 4 0 396 0 1772 361
b 4 0 396 0 1810 390
p 2 0 392 4 10899 581
b 4 0 396 0 1897 344
b 4 0 396 0 1946 374
p 2 0 387 9 11135 566
b 4 0 396 0 2417 452
b 4 0 396 0 2490 438
p 2 0 395 1 15022 628
b 4 0 396 0 2387 359
b 4 0 396 0 2295 354
p 2 1 381 14 10751 574
b 4 0 396 0 2237 334
b 4 0 396 0 2332 356
p 2 1 376 19 11112 568
b 4 0 396 0 2242 369
b 4 0 396 0 2156 346
p 2 0 368 28 10674 550
b 4 0 396 0 2178 441
b 4 0 396 0 2128 470
p 2 0 395 1 14234 636
b 4 0 396 0 1696 360
b 4 0 396 0 1527 346
p 2 0 380 16 10137 572
b 4 0 396 0 1537 342
b 4 0 396 0 1468 360
